City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Virginia Beach,US,73.06,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
514,Richards Bay,ZA,64.98,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
516,Codrington,AU,74.55,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
517,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
519,Maneadero,MX,68.18,few clouds,31.7167,-116.5667,Casa De Thompson
520,Zhuhai,CN,64.06,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
521,Santa Fe,AR,93.02,clear sky,-31.6333,-60.7,Conquistador Hotel
522,Grafton,US,58.21,clear sky,42.207,-71.6856,The Grafton Inn
525,Nanuque,BR,85.35,overcast clouds,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
529,Bereda,ES,46.42,clear sky,43.2686,-7.5406,Pazo de Verdes
530,Broome,US,51.71,clear sky,42.2506,-75.833,Chenango Valley State Park
532,Delvada,IN,66.92,clear sky,20.7667,71.0333,Hotel Shivam
534,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
535,Great Yarmouth,GB,47.44,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
536,Pointe-Noire,CG,75.11,overcast clouds,-4.7761,11.8635,Kactus Lodge
537,Zemio,CF,78.06,overcast clouds,5.0314,25.1361,OCHA Office
538,Birao,CF,74.07,few clouds,10.2849,22.7882,
539,Sao Joao De Pirabas,BR,84.67,moderate rain,-0.7747,-47.1772,POUSADA SOL E MAR
540,Vestmannaeyjar,IS,48.11,overcast clouds,63.4427,-20.2734,Glamping & Camping
541,Mailsi,PK,51.69,clear sky,29.8003,72.1758,Mian Lodge
542,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
546,Rocha,UY,74.35,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
547,Carutapera,BR,85.46,overcast clouds,-1.195,-46.02,Lidera
548,Chiredzi,ZW,65.44,light rain,-21.05,31.6667,Clevers Hotel Chiredzi
550,Byron Bay,AU,69.06,overcast clouds,-28.65,153.6167,Backpackers Inn
551,Papayal,PE,86.0,overcast clouds,-4.0761,-80.7361,
552,Adzope,CI,81.43,scattered clouds,6.1069,-3.8619,Hôtel AKL
553,Palmer,US,59.29,scattered clouds,42.1584,-72.3287,Wedgewood Motel
554,Katete,UG,64.53,overcast clouds,-0.7818,29.7544,
555,Pocone,BR,76.12,moderate rain,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
556,Mattru,SL,79.77,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
557,Bengkulu,ID,75.72,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
558,Rabo De Peixe,PT,60.31,few clouds,37.8,-25.5833,Quinta das Giestas
560,Ambilobe,MG,76.53,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
564,Whitianga,NZ,65.01,clear sky,-36.8333,175.7,Beachside Resort Whitianga
566,Deming,US,60.69,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
567,Plettenberg Bay,ZA,60.6,clear sky,-34.0527,23.3716,Thanda Vista B&B
568,Niquelandia,BR,79.77,light rain,-14.4739,-48.4597,Hotel Suinã
569,Pringsewu,ID,74.46,overcast clouds,-5.3582,104.9744,Urban Style by Front One
570,Bontang,ID,78.28,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
572,Salamiyah,SY,50.61,broken clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
574,Mareeba,AU,74.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
575,Inhambane,MZ,67.98,light rain,-23.865,35.3833,Oceano
576,Mancio Lima,BR,85.21,moderate rain,-7.6142,-72.8958,Hotel e Distribuidora Voyage
577,Sebring,US,84.27,clear sky,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
578,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
579,Barra Do Garcas,BR,81.43,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
580,Bambanglipuro,ID,64.6,light rain,-7.95,110.2833,Puri Brata
581,Dawei,MM,72.93,overcast clouds,14.0833,98.2,Hotel Dawei
582,Vao,NC,74.86,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
585,Sulangan,PH,81.59,overcast clouds,11.1373,123.7228,Maia's Beach Resort
590,Hit,IQ,57.51,clear sky,33.6416,42.8251,صالون زيرو
591,Dehloran,IR,63.75,overcast clouds,32.6941,47.2679,کافه گیم استورم
592,Kutum,SD,62.69,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
593,Lata,PT,56.8,clear sky,40.1629,-8.3327,Casa Maquia
594,Jizan,SA,76.66,clear sky,17.3333,42.6667,شهدان. ابوالحجر
595,Los Llanos De Aridane,ES,60.55,few clouds,28.6585,-17.9182,Valle Aridane
596,Salgado,BR,81.3,light rain,-11.0319,-37.475,Chacara João XXIII
598,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
599,Lima,PE,70.9,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
601,Coracao De Jesus,BR,74.16,light rain,-16.6853,-44.365,Hotel Neves
603,Ibimirim,BR,88.77,overcast clouds,-8.5406,-37.6903,Hotel Paulistão
604,Rio Grande City,US,83.89,overcast clouds,26.3798,-98.8203,La Borde House
605,Eusebio,BR,87.66,few clouds,-3.89,-38.4506,CONDOMINIO GRAN CLASSIC
606,Apricena,IT,51.96,broken clouds,41.7839,15.4437,Bed & Breakfast CORSO ROMA
609,Talisay,PH,78.8,broken clouds,10.2447,123.8494,RedDoorz near Talisay District Hospital
610,Sao Teotonio,PT,55.69,overcast clouds,37.5128,-8.7071,Aterra
612,Bellary,IN,67.03,scattered clouds,15.15,76.9333,Hotel Pawan
613,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
614,Martapura,ID,78.89,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
615,Camacha,PT,63.36,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
616,Waitati,NZ,55.8,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
618,Letlhakane,BW,67.93,overcast clouds,-21.4167,25.5833,Motswedi Hotel P650
620,Manga,BF,80.83,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
622,Tiznit,MA,58.84,clear sky,29.5833,-9.5,
624,Angra Dos Reis,BR,76.06,overcast clouds,-23.0067,-44.3181,Mercure Angra dos Reis
625,Yarmouth,US,61.02,clear sky,41.7057,-70.2286,Blue Rock Resort
626,Bac Lieu,VN,75.99,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
627,Bria,CF,80.26,overcast clouds,6.5423,21.9863,WFP Guesthouse
628,Hokitika,NZ,56.66,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
629,Belmonte,BR,84.7,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
630,Coquimbo,CL,66.25,clear sky,-29.9533,-71.3436,Punto de encuentro
631,Marzuq,YE,62.51,clear sky,14.4,46.4667,
633,Visnagar,IN,61.72,clear sky,23.7,72.55,Hotel Rajvi Palace
634,Ixtapa,MX,88.03,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
635,Dovers,VC,80.19,overcast clouds,12.8833,-61.1833,Ocean Breeze
636,Kota Belud,MY,78.66,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
637,Montepuez,MZ,74.98,overcast clouds,-13.1256,38.9997,PembaAparthotel
638,Gigmoto,PH,79.56,overcast clouds,13.7796,124.39,Cj's Travellers Inn
639,Santarem,BR,88.03,overcast clouds,-2.4431,-54.7083,Ecotur Lodge
640,Itamaraca,BR,84.88,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
642,Vila Do Maio,CV,75.99,scattered clouds,15.1333,-23.2167,Hotel Marilu
646,Djambala,CG,69.8,scattered clouds,-2.5447,14.7533,Hotel Ravin D'or
647,Ibipeba,BR,85.23,scattered clouds,-11.6408,-42.0111,Quitanda santos
649,Matara,LK,77.25,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
650,Ashington,GB,48.81,broken clouds,50.9331,-0.3909,Tirol House
651,Arica,CL,74.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
652,Tukrah,LY,59.68,broken clouds,32.5341,20.5791,Lagrota restaurant
653,Mitsamiouli,KM,80.13,clear sky,-11.3847,43.2844,Foyer ADM
654,Roma,US,48.06,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
655,Guane,CU,83.77,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
656,Acapulco,MX,87.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
658,Aberystwyth,GB,46.31,few clouds,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
659,Jerantut,MY,74.25,very heavy rain,3.936,102.3626,Jerantut Hill Resort
660,Taree,AU,64.58,few clouds,-31.9,152.4667,All Seasons Country Lodge Taree
661,Oussouye,SN,78.33,scattered clouds,12.485,-16.5469,Auberge du Routard
662,Chambersburg,US,56.75,overcast clouds,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
668,La Orilla,MX,83.93,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
669,Celestun,MX,84.22,broken clouds,20.8667,-90.4,Posada Lilia
670,Colonial Heights,US,74.71,overcast clouds,37.268,-77.4073,Hilton Garden Inn Richmond South/Southpark
671,Pochutla,MX,89.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
674,Waycross,US,78.67,broken clouds,31.2136,-82.354,Super 8 by Wyndham Waycross GA
675,Asosa,ET,67.55,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
676,Gadarwara,IN,57.72,clear sky,22.9167,78.7833,HOTEL SHANTIDOOT
677,Atar,MR,78.57,few clouds,20.5169,-13.0499,Oumou Elghoura
678,Manavgat,TR,51.84,few clouds,36.7867,31.4431,River Boutique Hotel
680,Rameswaram,IN,79.88,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
681,Mpongwe,ZM,65.21,light rain,-13.5091,28.155,Guest house
682,Anloga,GH,82.65,few clouds,5.7947,0.8973,Pin Drop Hotel
684,Bacolod,PH,76.95,overcast clouds,10.6667,122.95,Planta Hotel & Residences
