City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Morros,BR,-9.4467,-46.3003,83.39,62,100,1.36,overcast clouds
165,Chuncheng,CN,22.1731,111.7886,58.86,55,85,7.85,overcast clouds
166,Majene,ID,-3.5403,118.9707,78.85,87,90,0.49,overcast clouds
167,Ilulissat,GL,69.2167,-51.1,4.96,76,100,4.99,overcast clouds
168,Dera Bugti,PK,29.0307,69.151,48.6,11,0,4.59,clear sky
169,Solnechnyy,RU,50.7214,136.6319,-17.86,94,97,2.42,overcast clouds
170,Narsaq,GL,60.9167,-46.05,17.82,68,0,7.18,clear sky
171,Bozoum,CF,6.3193,16.3799,74.53,32,8,2.17,clear sky
172,Haines Junction,CA,60.7522,-137.5108,4.41,99,100,0.85,overcast clouds
173,Muros,ES,42.7762,-9.0603,53.83,89,0,2.77,clear sky
174,Caravelas,BR,-17.7125,-39.2481,82.09,69,9,11.23,clear sky
175,Cockburn Town,TC,21.4612,-71.1419,79.12,75,0,23.85,clear sky
176,Jiuquan,CN,39.7432,98.5174,19.8,51,0,3.24,clear sky
177,Okato,NZ,-39.2,173.8833,59.41,76,86,16.87,overcast clouds
178,Gulu,UG,2.7746,32.299,78.44,40,100,5.06,overcast clouds
179,Arinos,BR,-15.9169,-46.1056,73.33,94,100,3.47,overcast clouds
180,Ankang,CN,32.68,109.0172,41.41,49,94,1.05,overcast clouds
181,Chebenki,RU,51.9337,55.7077,28.15,97,100,5.57,overcast clouds
182,Dingle,PH,10.9995,122.6711,74.35,92,100,1.41,overcast clouds
183,Tilichiki,RU,60.4667,166.1,-4.04,95,100,7.58,overcast clouds
184,Cabo San Lucas,MX,22.8909,-109.9124,79.52,69,100,1.01,overcast clouds
185,Qala,AZ,40.4418,50.1681,44.49,87,0,4.61,clear sky
186,Port-Gentil,GA,-0.7193,8.7815,80.35,80,92,12.06,overcast clouds
187,Tuatapere,NZ,-46.1333,167.6833,53.82,73,91,11.65,overcast clouds
188,Yellowknife,CA,62.456,-114.3525,-27.71,68,1,4.61,clear sky
189,Eagle Pass,US,28.7091,-100.4995,76.51,75,90,13.8,overcast clouds
190,Lasa,IT,46.6166,10.7002,35.37,50,0,8.05,clear sky
191,Qandala,SO,11.472,49.8728,76.44,78,60,11.14,broken clouds
192,Msowero,TZ,-6.5333,37.2,74.43,81,31,4.32,scattered clouds
193,Strezhevoy,RU,60.7333,77.5889,-0.42,96,97,4.99,overcast clouds
194,Sandwick,GB,60.0,-1.25,48.02,87,0,12.66,clear sky
195,Tamandare,BR,-8.7597,-35.1047,81.09,75,26,11.14,scattered clouds
196,Catamarca,AR,-28.4696,-65.7852,91.78,39,88,10.0,overcast clouds
197,Neuenkirchen,DE,52.2447,7.3718,47.79,84,100,3.62,overcast clouds
198,Lere,NG,10.387,8.5726,68.92,24,81,7.74,broken clouds
199,Chokurdakh,RU,70.6333,147.9167,-34.76,100,78,6.02,broken clouds
200,Peleduy,RU,59.6289,112.7406,-5.35,98,100,4.54,overcast clouds
201,Kizukuri,JP,40.8061,140.3861,24.12,75,100,27.13,light snow
202,Bundaberg,AU,-24.85,152.35,71.22,92,90,3.0,overcast clouds
203,Paita,PE,-5.0892,-81.1144,82.96,73,88,16.04,overcast clouds
204,Griffith,US,41.5284,-87.4237,41.09,70,1,1.01,clear sky
205,Saint-Philippe,RE,-21.3585,55.7679,74.79,76,28,4.32,scattered clouds
206,Hammerfest,NO,70.6634,23.6821,37.13,87,75,12.66,broken clouds
207,Nikolskoye,RU,59.7035,30.7861,31.89,98,91,4.36,overcast clouds
208,Katsuura,JP,35.1333,140.3,41.18,47,97,24.02,overcast clouds
209,Nanakuli,US,21.3906,-158.1547,80.55,73,1,3.44,clear sky
210,Kahului,US,20.8947,-156.47,78.84,81,1,3.0,clear sky
211,Victoria,HK,22.2855,114.1577,64.33,69,97,5.99,overcast clouds
212,Guliston,UZ,40.4897,68.7842,40.17,28,0,10.87,clear sky
213,Kernersville,US,36.1199,-80.0736,70.86,73,90,1.99,overcast clouds
214,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.78,90,100,3.8,moderate rain
215,Brae,GB,60.3964,-1.353,48.11,91,32,13.78,scattered clouds
216,Harper,LR,4.375,-7.7169,80.83,80,4,10.51,clear sky
217,Dedougou,BF,12.4667,-3.4667,82.36,14,80,8.23,broken clouds
218,Sartell,US,45.6216,-94.2069,16.93,73,1,1.99,clear sky
219,Rawson,AR,-43.3002,-65.1023,81.21,34,97,21.88,overcast clouds
220,Tiksi,RU,71.6872,128.8694,-23.13,100,100,2.8,overcast clouds
221,Merauke,ID,-8.4667,140.3333,78.91,88,100,6.76,overcast clouds
222,Lyuban,BY,52.7985,28.0048,32.88,86,92,9.37,overcast clouds
223,Aswan,EG,24.0934,32.907,59.76,40,100,11.48,overcast clouds
224,Yulara,AU,-25.2406,130.9889,82.24,28,8,6.91,clear sky
225,Aqtobe,KZ,50.2797,57.2072,30.29,93,90,2.24,overcast clouds
226,Filadelfia,US,39.9523,-75.1638,60.12,25,1,4.0,clear sky
227,Nobres,BR,-14.7203,-56.3275,76.12,92,100,2.19,overcast clouds
